0,1,2,3,4,5,6,7,8,9
355.0,0.0,4.0,1.0,1.0,25.0,3.0,0.0,41.0,0.0,
0.0,394.0,3.0,3.0,0.0,22.0,1.0,1.0,18.0,0.0,
3.0,1.0,269.0,4.0,7.0,11.0,6.0,4.0,67.0,0.0,
1.0,0.0,15.0,282.0,0.0,63.0,3.0,2.0,50.0,5.0,
2.0,0.0,11.0,0.0,329.0,22.0,0.0,0.0,34.0,24.0,
0.0,1.0,2.0,4.0,4.0,256.0,6.0,0.0,56.0,5.0,
1.0,0.0,13.0,0.0,9.0,41.0,306.0,0.0,30.0,0.0,
0.0,1.0,5.0,1.0,7.0,14.0,1.0,341.0,11.0,20.0,
1.0,6.0,6.0,4.0,0.0,16.0,1.0,0.0,336.0,9.0,
4.0,1.0,6.0,1.0,16.0,33.0,0.0,16.0,27.0,295.0,

Accuracy in %: 79.07499999999999